rep,model,calib,estimator,estimate,ece,r2g0,ATE_true
4,logit,raw,AIPW,-3.823664927960841,0.21298287120592624,0.4880184876614958,5.363237518910742
4,logit,raw,AIPW-N,4.88271763233721,0.21298287120592624,0.4880184876614958,5.363237518910742
4,logit,platt,IPW,7.970647326973254,0.041982564947883216,0.4880184876614958,5.363237518910742
4,logit,platt,IPW-N,8.31751942130762,0.041982564947883216,0.4880184876614958,5.363237518910742
4,logit,platt,AIPW,6.359412982555094,0.041982564947883216,0.4880184876614958,5.363237518910742
4,logit,platt,AIPW-N,6.342870145470184,0.041982564947883216,0.4880184876614958,5.363237518910742
4,logit,beta,IPW,7.951362607056606,0.04025537535742617,0.4880184876614958,5.363237518910742
4,logit,beta,IPW-N,8.324477197513433,0.04025537535742617,0.4880184876614958,5.363237518910742
4,logit,beta,AIPW,6.360717076459818,0.04025537535742617,0.4880184876614958,5.363237518910742
4,logit,beta,AIPW-N,6.343248283195852,0.04025537535742617,0.4880184876614958,5.363237518910742
4,logit,iso,IPW,8.366183453502213,0.05980546069623262,0.4880184876614958,5.363237518910742
4,logit,iso,IPW-N,7.735439815374127,0.05980546069623262,0.4880184876614958,5.363237518910742
4,logit,iso,AIPW,6.195009956521741,0.05980546069623262,0.4880184876614958,5.363237518910742
4,logit,iso,AIPW-N,6.210226613351282,0.05980546069623262,0.4880184876614958,5.363237518910742
4,rf,raw,IPW,6.260905998466553,0.03700916666666667,0.4880184876614958,5.363237518910742
4,rf,raw,IPW-N,6.633361335229342,0.03700916666666667,0.4880184876614958,5.363237518910742
4,rf,raw,AIPW,6.020956930658313,0.03700916666666667,0.4880184876614958,5.363237518910742
4,rf,raw,AIPW-N,5.981436732244049,0.03700916666666667,0.4880184876614958,5.363237518910742
4,rf,platt,IPW,5.330000409858964,0.033794621774612815,0.4880184876614958,5.363237518910742
4,rf,platt,IPW-N,6.381027396912019,0.033794621774612815,0.4880184876614958,5.363237518910742
4,rf,platt,AIPW,5.93992296892512,0.033794621774612815,0.4880184876614958,5.363237518910742
4,rf,platt,AIPW-N,5.899889367341307,0.033794621774612815,0.4880184876614958,5.363237518910742
4,rf,beta,IPW,5.054798728841224,0.030243462601103523,0.4880184876614958,5.363237518910742
4,rf,beta,IPW-N,6.233443108624076,0.030243462601103523,0.4880184876614958,5.363237518910742
4,rf,beta,AIPW,5.85628937088441,0.030243462601103523,0.4880184876614958,5.363237518910742
4,rf,beta,AIPW-N,5.818268354502538,0.030243462601103523,0.4880184876614958,5.363237518910742
4,rf,iso,IPW,5.455400070851634,0.030371698529126988,0.4880184876614958,5.363237518910742
